title,description
Python Developer,Python programming FastAPI Django REST APIs backend development
Backend Developer,Server side development APIs databases Python Java system design
Frontend Developer,HTML CSS JavaScript responsive UI frontend development
Full Stack Developer,Frontend backend integration JavaScript Python databases APIs
Machine Learning Engineer,Machine learning scikit learn model training preprocessing
Data Scientist,Data analysis machine learning statistics visualization Python
Data Analyst,SQL Excel data cleaning visualization business insights
DevOps Engineer,Docker Kubernetes CI CD Linux cloud infrastructure
Cloud Engineer,AWS Azure cloud services deployment monitoring scaling
Software Engineer,Software development data structures algorithms OOP
AI Engineer,Artificial intelligence NLP ML model development
NLP Engineer,Natural language processing text preprocessing TF IDF
Database Administrator,Database management SQL performance optimization backups
System Engineer,System design operating systems networking Linux
QA Engineer,Software testing manual automation test cases bug tracking
Mobile App Developer,Android iOS mobile application development
Java Developer,Java Spring Boot REST APIs backend development
.NET Developer,C sharp dotnet web APIs backend development
Cyber Security Analyst,Security analysis vulnerability assessment network security
Business Analyst,Requirements gathering data analysis stakeholder communication
